Nonprofit Name,Profile Link,Phone Number,EIN,Website,Email,Address,Email,Google Ads Grants Status,Application Status,Fundraised 
A Better Chance Inc,https://www.charitynavigator.org/ein/237173492,646-346-1310,237173492,https://abetterchance.org/,development@abetterchance.org,253 West 35th Street 15th Floor New York NY 10001,,,,
A Race Against Blindness,https://www.charitynavigator.org/ein/922174042,520-548-1807,922174042,http://www.ARaceAgainstBlindness.org,info@araceagainstblindness.org,4967 S ELLESMERE ST GILBERT AZ 85298-0617,,,,
Aarp Foundation,https://www.charitynavigator.org/ein/520794300,800-775-6776,520794300,http://www.aarp.org/aarp-foundation/,giving@aarp.org,"601 E Street, NW Washington DC 20049",,,,
Abandoned Childrens Fund,https://www.charitynavigator.org/ein/205967513,888-884-0567,205967513,https://abandonedchildrensfund.org/,admin@acf-mail.org,2360 Mendocino Ave A2-220 Santa Rosa CA 95403,,,,
Academy For Youth Excellence,https://www.charitynavigator.org/ein/853710096,,,,,,,,,
Accion International,https://www.charitynavigator.org/ein/132535763,202-393-5113,132535763,http://WWW.ACCION.ORG,,1101 15th St. NW Suite 400 Washington DC 20005,,,,
Actblue Charities Inc,https://www.charitynavigator.org/ein/473739141,617-517-7600,473739141,https://secure.actblue.com/abcharities,,,,,,
Actblue Civics Inc,https://www.charitynavigator.org/ein/455097038,617-517-7600,455097038,https://www.actblue.com/,,,,,,
Action Against Hunger Usa,https://www.charitynavigator.org/ein/133327220,212-967-7800,133327220,,,1 WHITEHALL ST FRNT 2 NEW YORK NY 10004-2125,,,,
Actionaid Usa,https://www.charitynavigator.org/ein/522277575,202-835-1240,522277575,http://www.actionaidusa.org/,,,,,,
Active Minds Inc,https://www.charitynavigator.org/ein/200587172,202-332-9595,200587172,https://www.activeminds.org/,,,,,,
Adopt A Platoon,https://www.charitynavigator.org/ein/742918904,956-748-4145,742918904,https://adoptaplatoon.org/site/,,,,,,
Adventist Development And Relief Agency International,https://www.charitynavigator.org/ein/521314847,800-424-2372,521314847,https://adra.org/,,,,,,
Advocates For Trans Equality Education Fund,https://www.charitynavigator.org/ein/412090291,202-642-4542,412090291,http://www.transequality.org/,,,,,,
African Leaders Malaria Alliance Inc,https://www.charitynavigator.org/ein/273861222,646-673-2228,273861222,HTTP://WWW.ALMA2030.ORG/,,,,,,
African Wildlife Foundation,https://www.charitynavigator.org/ein/520781390,888-494-5354,520781390,http://www.awf.org,,,,,,
Aga Khan Foundation Usa,https://www.charitynavigator.org/ein/521231983,202-293-2537,521231983,http://www.akfusa.org/,,,,,,
Aid For Starving Children,https://www.charitynavigator.org/ein/521224507,707-525-1310,521224507,http://aidforstarvingchildren.org/,info@aidforstarvingchildren.org,,,,,
Aid To The Church In Need Inc,https://www.charitynavigator.org/ein/861089466,,861089466,,,,,,,
Akshaya Patra Foundation Usa,https://www.charitynavigator.org/ein/010574950,781-438-3090,10574950,https://www.apusa.org/,contact@apusa.org,,,,,
Alaqua Animal Refuge Inc,https://www.charitynavigator.org/ein/020806313,850-880-6399,20806313,https://www.alaqua.org/,info@alaqua.org,,,,,
Alexs Lemonade Stand Foundation,https://www.charitynavigator.org/ein/562496146,610-649-3034,562496146,http://www.alexslemonade.org,,,,,,
Alight,https://www.charitynavigator.org/ein/363241033,612-872-7060,363241033,http://WWW.WEAREALIGHT.ORG,,,,,,
All Hands And Hearts Smart Response Inc,https://www.charitynavigator.org/ein/203414952,508-758-8211,203414952,https://www.allhandsandhearts.org/,,,,,,
All Seated In A Barn,https://www.charitynavigator.org/ein/825455179,661-204-4016,825455179,http://www.allseatedinabarn.com,info@allseatedinabarn.com,,,,,
Alley Cat Allies Incorporated,https://www.charitynavigator.org/ein/521742079,866-309-6207,521742079,http://www.alleycat.org,,,,,,
Alley Cat Rescue Inc,https://www.charitynavigator.org/ein/522279100,301-277-5595,522279100,http://www.saveacat.org,,,,,,
Alliance Defending Freedom,https://www.charitynavigator.org/ein/541660459,480-444-0020,541660459,http://www.adflegal.org,,,,,,
